"","ID","LMT_Date","Age","Sex","Year","site","dist_hub","Stage"
"112",128,2014-04-01,"Adult","Male",2014,"Webb",984.714846048451,"1Pre_Hunt"
"113",128,2014-04-02,"Adult","Male",2014,"Webb",1014.70509491951,"2Hunt"
"114",128,2014-04-03,"Adult","Male",2014,"Webb",442.839716805946,"2Hunt"
"115",128,2014-04-04,"Adult","Male",2014,"Webb",605.555421247847,"2Hunt"
"116",128,2014-04-05,"Adult","Male",2014,"Webb",343.343270946995,"2Hunt"
"117",128,2014-04-06,"Adult","Male",2014,"Webb",237.997743383069,"2Hunt"
"118",128,2014-04-07,"Adult","Male",2014,"Webb",249.223455458596,"2Hunt"
"119",128,2014-04-08,"Adult","Male",2014,"Webb",238.656543782681,"2Hunt"
"120",128,2014-04-09,"Adult","Male",2014,"Webb",226.068250321283,"2Hunt"
"121",128,2014-04-10,"Adult","Male",2014,"Webb",364.794717341348,"2Hunt"
"122",128,2014-04-11,"Adult","Male",2014,"Webb",275.374550707942,"2Hunt"
"123",128,2014-04-12,"Adult","Male",2014,"Webb",269.430874608582,"2Hunt"
"124",128,2014-04-13,"Adult","Male",2014,"Webb",223.742906897901,"2Hunt"
"125",128,2014-04-14,"Adult","Male",2014,"Webb",277.972749196809,"2Hunt"
"126",128,2014-04-15,"Adult","Male",2014,"Webb",307.976730652574,"2Hunt"
"127",128,2014-04-16,"Adult","Male",2014,"Webb",254.265973940244,"2Hunt"
"128",128,2014-04-17,"Adult","Male",2014,"Webb",308.839161813898,"2Hunt"
"129",128,2014-04-18,"Adult","Male",2014,"Webb",172.194212025318,"2Hunt"
"130",128,2014-04-19,"Adult","Male",2014,"Webb",249.557371746872,"2Hunt"
"131",128,2014-04-20,"Adult","Male",2014,"Webb",294.66164037196,"2Hunt"
"132",128,2014-04-21,"Adult","Male",2014,"Webb",288.88495152497,"2Hunt"
"133",128,2014-04-22,"Adult","Male",2014,"Webb",268.612628090685,"2Hunt"
"134",128,2014-04-23,"Adult","Male",2014,"Webb",251.142198866065,"2Hunt"
"135",128,2014-04-24,"Adult","Male",2014,"Webb",265.630385615117,"2Hunt"
"136",128,2014-04-25,"Adult","Male",2014,"Webb",338.029961281524,"2Hunt"
"137",128,2014-04-26,"Adult","Male",2014,"Webb",361.589900370001,"2Hunt"
"138",128,2014-04-27,"Adult","Male",2014,"Webb",280.217797238624,"2Hunt"
"139",128,2014-04-28,"Adult","Male",2014,"Webb",216.405236320135,"2Hunt"
"140",128,2014-04-29,"Adult","Male",2014,"Webb",203.671860650973,"2Hunt"
"141",128,2014-04-30,"Adult","Male",2014,"Webb",224.356085815674,"2Hunt"
"142",128,2014-05-01,"Adult","Male",2014,"Webb",307.000285810576,"3Post_Hunt"
"143",128,2014-05-02,"Adult","Male",2014,"Webb",394.573802365077,"3Post_Hunt"
"144",128,2014-05-03,"Adult","Male",2014,"Webb",431.671723331291,"3Post_Hunt"
"145",128,2014-05-04,"Adult","Male",2014,"Webb",329.707509235259,"3Post_Hunt"
"146",128,2014-05-05,"Adult","Male",2014,"Webb",193.309701998893,"3Post_Hunt"
"147",128,2014-05-06,"Adult","Male",2014,"Webb",411.250318290498,"3Post_Hunt"
"148",128,2014-05-07,"Adult","Male",2014,"Webb",543.201505804773,"3Post_Hunt"
"149",128,2014-05-08,"Adult","Male",2014,"Webb",300.075734446271,"3Post_Hunt"
"150",128,2014-05-09,"Adult","Male",2014,"Webb",446.033442306114,"3Post_Hunt"
"151",128,2014-05-10,"Adult","Male",2014,"Webb",379.172621843362,"3Post_Hunt"
"152",128,2014-05-11,"Adult","Male",2014,"Webb",684.012235259909,"3Post_Hunt"
"153",128,2014-05-12,"Adult","Male",2014,"Webb",856.326755519942,"3Post_Hunt"
"154",128,2014-05-13,"Adult","Male",2014,"Webb",329.72943104615,"3Post_Hunt"
"155",128,2014-05-14,"Adult","Male",2014,"Webb",527.460161314858,"3Post_Hunt"
"156",128,2014-05-15,"Adult","Male",2014,"Webb",289.181179183682,"3Post_Hunt"
"157",128,2014-05-16,"Adult","Male",2014,"Webb",181.077346706332,"3Post_Hunt"
"158",128,2014-05-17,"Adult","Male",2014,"Webb",201.524643533225,"3Post_Hunt"
"159",128,2014-05-18,"Adult","Male",2014,"Webb",581.123690853261,"3Post_Hunt"
"160",128,2014-05-19,"Adult","Male",2014,"Webb",663.640924101355,"3Post_Hunt"
"161",128,2014-05-20,"Adult","Male",2014,"Webb",413.579161854727,"3Post_Hunt"
"162",128,2014-05-21,"Adult","Male",2014,"Webb",672.397359810322,"3Post_Hunt"
"163",128,2014-05-22,"Adult","Male",2014,"Webb",511.29036638189,"3Post_Hunt"
"164",128,2014-05-23,"Adult","Male",2014,"Webb",170.812398164463,"3Post_Hunt"
"165",128,2014-05-24,"Adult","Male",2014,"Webb",202.400729756007,"3Post_Hunt"
"166",128,2014-05-25,"Adult","Male",2014,"Webb",144.498166291592,"3Post_Hunt"
"167",128,2014-05-26,"Adult","Male",2014,"Webb",244.694859945957,"3Post_Hunt"
